MasterYear,FormNumber,District,OperatorNumber,DateofLoss,Type_Company_Cd,County,LeaseNumber,Gasident,CommNbr,TypeLiquid,GrossLoss,Recovered,NetLoss,Facility,CauseofLoss,Remedy,Corrected_Report,Water,WaterName,Location,Remarks,LeaseName,FieldNumber,Into_Water,Unique_ID,GrossLossGal
2009,5,7C,COG OPERATING LLC,2009-01-02,Producer,UPTON,16093,0,0,Crude,155,110,45,Tank Battery,Human Error - Other,Other,False,,,"SECTION 23, BLOCK Y, GC &SF RR CO","VACUUMED FREE FLUID, AREA WILL BE REMEDIATED BY ENVIRO. FIRM.",JESSICA13SW,SPRABERRY (TREND AREA),False,117569,6510
2009,1,06,"PETRO-HUNT, L.L.C.",2009-01-02,Producer,WOOD,1337,0,0,Crude,2,0,2,Flow Line,Equipment Failure,Other,False,,,S.J. WHITE WELL #11,PLANNING SITE REMEDIATION,"WHITE, S. J., ETAL",QUITMAN,False,117565,84
2009,58,08,CIMAREX ENERGY CO. OF COLORADO,2009-01-03,Producer,CRANE,25148,0,0,Crude,200,180,20,Tank Battery,Equipment Failure,Other,False,,,"SECTION 3, BLOCK B-27, PUBLIC SCHOOL LAND, SVY, A-935",PICKED UP FREE FLUIDS AND REMEDIATED AREA,"TUBB-STATE, J.B.",SAND HILLS (MCKNIGHT),False,117622,8400
2009,451,06,EXXON MOBIL CORPORATION,2009-01-03,Producer,TITUS,0,0,349,Crude,1,1,0,Other,Equipment Failure,Other,False,,,LAT. N 33.35.033 LONG W 095.11.764,FREE FLUID PICKED UP. SITE HAS BEEN REMEDIATED.,SOUTHWEST NENA LUCIA UNIT,NO FIELD NAME,False,118015,42
2009,70,8A,"SANDRIDGE TERTIARY, LLC",2009-01-04,Producer,GAINES,66220,0,0,Crude,75,50,25,Tank Battery,Equipment Failure,Other,False,,,GEORGE ALLEN UNIT CENTRAL BATTERY,RECOVERED 50 BBL. SOIL REMEDIATION PLAN IN PROGRESS,GEORGE ALLEN UNIT,GEORGE ALLEN (SAN ANDRES),False,117634,3150
2009,27,08,OK ARENA OPERATING COMPANY,2009-01-04,Producer,ANDREWS,21365,0,0,Crude,400,350,50,Flow Line,Other,Other,False,,,"SEC. 8, BLK 10 UNIVERSITY LANDS",SOIL HAS BEEN REMEDIATED.,SOUTH FUHRMAN MASCHO UNIT,FUHRMAN-MASCHO,False,117591,16800
2009,147,06,"MARKWEST ENERGY E TX GAS CO, LLC",2009-01-05,Transporter,PANOLA,5402,0,0,Gas Well Liquid,5,5,0,Other,Other,Other,False,,,PANOLA COUNTY; J. SPENCER SURVEY A-589,REMEDIATION PLAN IN PROGRESS,"OBERTHIER, R. C. ET. AL.","HENDERSON, E. (TRAVIS PEAK)",False,117711,210
2009,672,10,NOBLE ENERGY INC,2009-01-05,Producer,HEMPHILL,0,202313,0,Gas Well Liquid,158,150,8,Valve,Act of God,Other,False,,,SEC.41. BLK M1 - N&GN SURVEY,VALVE FROZE & BROKE. PERFEX ENERGY TO REMEDIATE.,HEFLEY,BUFFALO WALLOW (GRANITE WASH),False,118235,6636
2009,2,03,"ENERVEST OPERATING, L.L.C.",2009-01-07,Producer,LEE,0,242131,0,Crude,10,10,0,Other,Equipment Failure,Other,False,,,AR STEPHENS A-19,FACILITY WAS EMERGENCY FLARE PIT. SOIL REMEDIATED.,"WHITE, S. J., ETAL",NO FIELD NAME,False,117566,420
2009,146,05,XTO ENERGY INC.,2009-01-08,Producer,LIMESTONE,0,181963,0,Products,350,350,0,Other,Company Human Error,Other,False,Stock Tank,STOCKTANK,MANUEL C. REJON SURVEY A-26 LOC.20735'FNWL 17740'FSWL A-26,SOIL AND WATER REMEDIATED.,KELLOGG,BALD PRAIRIE (CV CONSOLIDATED),False,117710,14700
2009,153,10,"CHESAPEAKE OPERATING, INC.",2009-01-08,Producer,WHEELER,0,246839,0,Crude,20,12,8,Other,Equipment Failure,Other,False,,,"SECTION 2, BLOCK 3, B&B, A-875, 550 FSL & 550 FWL",FREE FLUID RECOVERED. PREFEX ENERGY TO REMEDIATE SITE.,LOTT 2,B & B (GRANITE WASH),False,117717,840
2009,51,7C,"PIONEER NATURAL RES. USA, INC.",2009-01-09,Producer,UPTON,16754,0,0,Crude,39,0,39,Tank Battery,Equipment Failure,Other,False,,,31.16033 N 101.80585 W,FIRE STARTED DUE TO STATIC ELEC.AND BURNED FLUID.NO IMPACT TO SOIL,UNIVERSITY 4-20A,SHEEP MOUNTAIN (CONSOLIDATED),False,117615,1638
2009,11,06,"EVERGREEN OPERATING CO., LTD.",2009-01-10,Producer,HARRISON,2647,0,0,Crude,8,7,1,Tank Battery,Equipment Failure,Other,False,,,A.L. TURNER LEASE,SITE REMEDIATED. NO OIL OR WATER LEFT ON SITE.,"TURNER, A. L.",PANOLA,False,117575,336
2009,552,08,APACHE CORPORATION,2009-01-11,Producer,CRANE,20377,0,0,Crude,5,4,1,Flow Line,Equipment Failure,Repaired Existing Equipment,False,,,AROUND INJECTION LINE IN PASTURE,FIXED INJECTION LINE AND REMEDIATED AREA.,NORTH MCELROY UNIT,MCELROY,False,118115,210
2009,206,08,"PIONEER NATURAL RES. USA, INC.",2009-01-12,Producer,MIDLAND,28510,0,0,Crude,50,45,5,Tank Battery,Equipment Failure,Abandoned,False,,,MIDKIFF G BATTERY,PUMP FIXED. VACUUMED FREE FLUID C&C COATING TO FINISH REMEDIATION.,MIDKIFF,SPRABERRY (TREND AREA),False,117770,2100
2009,197,8A,APACHE CORPORATION,2009-01-12,Producer,COCHRAN,60190,0,0,Crude,60,40,20,Tank Battery,Equipment Failure,Abandoned,False,,,VALLEY PUMP SATELLITE BATTERY,FREE OIL WAS RECOVERED.SOIL REMEDIATION IN PROGRESS.VALVE FIXED,WEST LEVELLAND UNIT,LEVELLAND,False,117761,2520
2009,68,08,OK ARENA OPERATING COMPANY,2009-01-12,Producer,ANDREWS,10703,0,0,Crude,15,12,3,Tank Battery,Equipment Failure,Other,False,,,"SECTION 22, BLCO A-35, SURVEY PSL",SPILL SITE HAS BEEN EXCAVATED.,MUNGER & NIX-SNOW,FUHRMAN-MASCHO,False,117632,630
2009,3,06,"EXCO PRODUCTION COMPANY, LP",2009-01-12,Producer,PANOLA,11583,0,0,Crude,32,31,1,Tank Battery,Other,Other,False,,,JAMES SHANDOIN SURVEY,CAUSE: LEAK. SOIL REMEDIATED AND TESTED. WAITING FOR TEST RESULTS ,"AGURS, W. C.","BETHANY, NE. (LIME 3850)",False,117567,1344
2009,156,8A,APACHE CORPORATION,2009-01-12,Producer,YOAKUM,60135,0,0,Crude,8,7,1,Flow Line,Vandalism,Repaired Existing Equipment,False,,,WELL #65,LINE REPAIRED. FREE FLUID RECOVERED. SOIL REMEDIATED.,BRAHANEY UNIT,BRAHANEY,False,117720,336
2009,204,08,OXY USA INC.,2009-01-13,Producer,ANDREWS,16497,0,0,Crude,18,0,18,Pipe Line,Corrosion - Rust,Other,False,,,"SECTION 29, BLK 4/UL SURVEY, 25724 ACRES.",SOIL REMEDIATED.,STATE UNIV # 1 QN CONS UT.,MCFARLAND (QUEEN),False,117768,756
2009,307,8A,PLAINS PIPELINE L.P.,2009-01-13,Transporter,DAWSON,0,0,0,Crude,20,15,5,Pump Station or Terminal,Corrosion - Rust,Abandoned,False,,,GPS: N 32.70442000 W 102.16168000,PIPE CLAMPED AND SOIL REMEDIATION PLAN IN PROGRESS,SEMINOLE SAN ANDRES UNIT,NO FIELD NAME,False,117871,840
2009,64,8A,APACHE CORPORATION,2009-01-13,Producer,HOCKLEY,60242,0,0,Crude,15,0,15,Flow Line,Other,Repaired Existing Equipment,False,,,YELLOWHOUSE UNIT WELL #110,(FIRETRUCK DROVE OVER FLOWLINE DURING FIRE)REMEDIATION IN PROGRESS,YELLOWHOUSE UNIT,YELLOWHOUSE,False,117628,630
2009,45,03,ANADARKO E&P COMPANY LP,2009-01-13,Producer,STARR,24231,0,0,Crude,20,16,4,Other,Equipment Failure,Other,False,,,WELL #1 PRODUCTION PAD,"VACUUMED FREE FLUIDS, REMEDIATED SOIL.","HANCOCK-HANCOCK ""A""",GIDDINGS (AUSTIN CHALK-3),False,117609,840
